1,0.99,0,0.02,0.01,0,0,0.21,0.98,0.01,0.04,0.03,0,0.01,0.04,0.02,0.01,0.07,0.01,0.05,0,0.01,0.03,0.06,0,0,0,0.02
0.99,1,0,0.01,0.05,0.03,0.04,0.95,0,0.08,0.01,0,0.01,0.02,0,0.08,0,0.01,0.02,0.02,0,0.07,0,0.02,0.03,0,0,0.04
0,0,1,0.03,1,0.02,0.01,0.03,0.01,0.05,0.18,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.04,0.06,0.01,0.01,0.01,0.04,0.01,0.05,0.02,0.85
0.02,0.01,0.03,1,0.28,0.01,0.03,0.01,0.02,0.04,0.01,0,0.05,0.04,0,0.02,0,0.05,1,0,0.19,0.01,0,0,0,0.05,0,0.01
0.01,0.05,1,0.28,1,0.02,0.02,0,0,0.06,0.16,0.03,0,0.02,0,0,0.03,0.02,0.22,0,0.01,0,0.02,0.05,0.02,0.03,0.02,0
0,0.03,0.02,0.01,0.02,1,0.9,0,0.01,0.24,0.04,0.01,0.04,0.1,0.01,0.12,0.01,0.06,0.06,0,0.02,0,0.02,0.02,0.01,0.55,0.5,0.02
0,0.04,0.01,0.03,0.02,0.9,1,0.02,0.01,0.13,0.04,0.01,0.09,0.02,0,0.06,0.01,1,0.13,0,0.01,0.21,0,0.05,0.12,0.07,0.01,0.02
0.21,0.95,0.03,0.01,0,0,0.02,1,0.83,0,0.08,0,0.06,0,0.05,0.03,0,0.02,0,0.03,0,0,0.02,0.02,0.01,0.02,0.02,0.03
0.98,0,0.01,0.02,0,0.01,0.01,0.83,1,0.01,0.01,0.01,0.08,0.04,0.04,0,0.03,0,0.07,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.05,0.01
0.01,0.08,0.05,0.04,0.06,0.24,0.13,0,0.01,1,0.01,0.15,0,0.02,0.01,0.01,0.05,0.05,0.07,0.04,0.02,0.03,0,0.01,0.05,0,0,0.03
0.04,0.01,0.18,0.01,0.16,0.04,0.04,0.08,0.01,0.01,1,0.17,0,0.1,0.01,0.03,0.04,0,0.07,0.06,0.02,0.7,0.02,0,0.02,0.02,0.02,0.04
0.03,0,0.02,0,0.03,0.01,0.01,0,0.01,0.15,0.17,1,0.03,1,0.01,0.04,0,0.07,0.24,0.01,1,0.04,0.08,0.05,0,0.23,0.09,0.11
0,0.01,0.02,0.05,0,0.04,0.09,0.06,0.08,0,0,0.03,1,0,0.38,0.01,0,0.01,0.11,0.02,0.01,0.01,0.01,0.03,0.06,0.01,0.01,0.01
0.01,0.02,0.01,0.04,0.02,0.1,0.02,0,0.04,0.02,0.1,1,0,1,0.03,0.03,0.01,0.05,0.06,0.12,0.02,0.26,0.01,0.21,0,0.62,0,0
0.04,0,0.01,0,0,0.01,0,0.05,0.04,0.01,0.01,0.01,0.38,0.03,1,0.02,0.01,0.03,0.01,0,0.01,0.03,0.19,0.01,0.22,0.04,0.05,0
0.02,0.08,0.01,0.02,0,0.12,0.06,0.03,0,0.01,0.03,0.04,0.01,0.03,0.02,1,0.01,0,0.01,0.01,0.63,0.02,0.07,0.01,0.06,0.99,0.34,0.02
0.01,0,0.02,0,0.03,0.01,0.01,0,0.03,0.05,0.04,0,0,0.01,0.01,0.01,1,0,0.04,0.04,0.02,0.02,0,0,0.03,0.01,0.01,0.03
0.07,0.01,0.02,0.05,0.02,0.06,1,0.02,0,0.05,0,0.07,0.01,0.05,0.03,0,0,1,0.38,0.08,0.01,0.03,0.13,0.69,0.02,0,0.07,0.03
0.01,0.02,0.04,1,0.22,0.06,0.13,0,0.07,0.07,0.07,0.24,0.11,0.06,0.01,0.01,0.04,0.38,1,0.04,0.41,0.02,0.03,1,0.05,0.03,0.03,0.01
0.05,0.02,0.06,0,0,0,0,0.03,0.01,0.04,0.06,0.01,0.02,0.12,0,0.01,0.04,0.08,0.04,1,0.36,0.8,1,0.02,0.08,0.05,0.07,0.01
0,0,0.01,0.19,0.01,0.02,0.01,0,0.01,0.02,0.02,1,0.01,0.02,0.01,0.63,0.02,0.01,0.41,0.36,1,0.01,0.12,0.14,0.02,0.02,0.19,0.09
0.01,0.07,0.01,0.01,0,0,0.21,0,0.01,0.03,0.7,0.04,0.01,0.26,0.03,0.02,0.02,0.03,0.02,0.8,0.01,1,0.02,0.89,0.01,0.01,0.07,0.01
0.03,0,0.01,0,0.02,0.02,0,0.02,0.03,0,0.02,0.08,0.01,0.01,0.19,0.07,0,0.13,0.03,1,0.12,0.02,1,0.85,0.11,0,0.17,0.01
0.06,0.02,0.04,0,0.05,0.02,0.05,0.02,0.01,0.01,0,0.05,0.03,0.21,0.01,0.01,0,0.69,1,0.02,0.14,0.89,0.85,1,0.06,0.03,0.03,0.01
0,0.03,0.01,0,0.02,0.01,0.12,0.01,0.01,0.05,0.02,0,0.06,0,0.22,0.06,0.03,0.02,0.05,0.08,0.02,0.01,0.11,0.06,1,0,0,0
0,0,0.05,0.05,0.03,0.55,0.07,0.02,0.01,0,0.02,0.23,0.01,0.62,0.04,0.99,0.01,0,0.03,0.05,0.02,0.01,0,0.03,0,1,0.86,0.02
0,0,0.02,0,0.02,0.5,0.01,0.02,0.05,0,0.02,0.09,0.01,0,0.05,0.34,0.01,0.07,0.03,0.07,0.19,0.07,0.17,0.03,0,0.86,1,0
0.02,0.04,0.85,0.01,0,0.02,0.02,0.03,0.01,0.03,0.04,0.11,0.01,0,0,0.02,0.03,0.03,0.01,0.01,0.09,0.01,0.01,0.01,0,0.02,0,1
